"gate","source_file","public_function","purpose"
"Physical gap workflow","apply_run_configuration_overrides.m","apply_run_configuration_overrides","Application component for apply run configuration overrides."
"Mathematics and confidence","best_fit.m","best_fit","Worker #2 — maximum-likelihood fit of the bell-curve (mu, sigma)."
"Input validation","check_inputs.m","check_inputs","Worker #7 — refuse bad starting guesses up front."
"Physical gap workflow","check_study_checkpoint.m","check_study_checkpoint","Application component for check study checkpoint."
"Neyer stages and next gap","choose_stage.m","choose_stage","Worker #6 — the method's brain (the three-stage traffic cop)."
"User interface and explanation","draw_distribution.m","draw_distribution","Draw the fitted distribution of critical interaction gaps."
"User interface and explanation","draw_interaction_curve.m","draw_interaction_curve","Application component for draw interaction curve."
"Pre-Test Planner","estimate_study_plan.m","estimate_study_plan","Application component for estimate study plan."
"Pre-Test Planner","estimate_supported_targets.m","estimate_supported_targets","Application component for estimate supported targets."
"Mathematics and confidence","find_root.m","find_root","Bracket-then-bisect one-sided root of R(x)=thr, on side `dir` of x0."
"Mathematics and confidence","fit_sigma0.m","fit_sigma0","A positive starting spread for best_fit, derived from the data."
"User interface and explanation","format_confidence_range.m","format_confidence_range","Application component for format confidence range."
"Physical gap workflow","format_requested_gap.m","format_requested_gap","Application component for format requested gap."
"User interface and explanation","format_result_text.m","format_result_text","Pure: turn a report `result` into the plain-language popup text."
"Neyer stages and next gap","has_overlap.m","has_overlap","Worker #4 — the Silvapulle condition (Stage 2 -> Stage 3 gate)."
"Mathematics and confidence","height_for_reliability.m","height_for_reliability","Mode A: the conservative height for a target reliability."
"Mathematics and confidence","info_terms.m","info_terms","Fisher information building blocks J0, J1, J2 (Eq.3)."
"Saving and records","load_study_plan.m","load_study_plan","Application component for load study plan."
"Mathematics and confidence","loglik.m","loglik","Log-likelihood of the bell-curve sensitivity model (Eq.1), one home."
"Mathematics and confidence","lr_confidence.m","lr_confidence","Likelihood-ratio (profile) confidence bounds."
"User interface and explanation","neyer_app.m","neyer_app","Launch menu for the D-Optimal Sensitivity Tool (the compiled app's"
"User interface and explanation","neyer_settings.m","neyer_settings","The single home for every constant the method uses."
"Mathematics and confidence","one_sided_profile_threshold.m","one_sided_profile_threshold","Application component for one sided profile threshold."
"Mathematics and confidence","operating_gap_coverage.m","operating_gap_coverage","Application component for operating gap coverage."
"Physical gap workflow","parse_physical_response.m","parse_physical_response","Application component for parse physical response."
"Input validation","parse_run_inputs.m","parse_run_inputs","Pure core of the settings popup: strings -> validated {params,num_parts,cfg}."
"Neyer stages and next gap","pick_next_level.m","pick_next_level","Worker #3 — the D-optimal picker (the method's heart)."
"Mathematics and confidence","pl_opts.m","pl_opts","Shared optimiser options for profile-likelihood inner maximisation."
"Pre-Test Planner","plan_prep_message.m","plan_prep_message","Plain-language popup text for the pre-test planner."
"Pre-Test Planner","plan_prep_numbers.m","plan_prep_numbers","Pure core of the pre-lab planner: parts count + first height."
"Pre-Test Planner","plan_prep.m","plan_prep","Pre-lab planner: how many parts to prepare + where to start."
"Pre-Test Planner","plan_samples.m","plan_samples","Estimate how many parts to test for a reliability at a confidence."
"User interface and explanation","plot_result.m","plot_result","Draw the interaction-probability and transition-gap views."
"User interface and explanation","pretest_planner_ui.m","pretest_planner_ui","Application component for pretest planner ui."
"Mathematics and confidence","prof_quantile.m","prof_quantile","Profiled log-likelihood with the level q = mu + ksig*sigma held"
"Physical gap workflow","reachable_gap_model.m","reachable_gap_model","Application component for reachable gap model."
"Mathematics and confidence","reliability_at_height.m","reliability_at_height","Mode B: reliability at a fixed height, with a conservative"
"User interface and explanation","reliability_query.m","reliability_query","Plain-language gap, probability, and confidence calculator."
"User interface and explanation","report.m","report","Worker #9 — present the final middle gap, overall variation, and confidence."
"User interface and explanation","result_decision_summary.m","result_decision_summary","Application component for result decision summary."
"Saving and records","result_output_paths.m","result_output_paths","Return the CSV and HTML paths for a chosen base name."
"Saving and records","result_save_available.m","result_save_available","Application component for result save available."
"Saving and records","results_to_csv_text.m","results_to_csv_text","Build a CSV report (as text) from a run's result struct."
"Saving and records","results_to_html.m","results_to_html","Application component for results to html."
"Physical gap workflow","round_reachable_gap.m","round_reachable_gap","Application component for round reachable gap."
"User interface and explanation","run_demo.m","run_demo","Application component for run demo."
"Neyer stages and next gap","run_loop.m","run_loop","Worker #8 — the conductor of the test."
"Physical gap workflow","run_physical_test.m","run_physical_test","Application component for run physical test."
"User interface and explanation","run_test_ui.m","run_test_ui","Run a Neyer test through large, readable pop-up windows (MATLAB"
"Neyer stages and next gap","run_test.m","run_test","The only entry point: check -> run -> report."
"Mathematics and confidence","sanity_clamp.m","sanity_clamp","Worker #5 — rein in wild best-fits on few results."
"Saving and records","save_results_files.m","save_results_files","Write CSV + HTML report text to <base>.csv / <base>.html."
"Saving and records","save_study_plan.m","save_study_plan","Application component for save study plan."
"Mathematics and confidence","select_operating_gap.m","select_operating_gap","Application component for select operating gap."
"Physical gap workflow","select_reachable_request.m","select_reachable_request","Application component for select reachable request."
"Mathematics and confidence","shape_model.m","shape_model","Worker #1 — the bell curve (the ONLY place the shape lives)."
"User interface and explanation","show_manual.m","show_manual","Application component for show manual."
"User interface and explanation","show_result.m","show_result","Application component for show result."
"Physical gap workflow","usable_resolution_for_plan.m","usable_resolution_for_plan","Application component for usable resolution for plan."
"Input validation","validate_plan_inputs.m","validate_plan_inputs","Application component for validate plan inputs."
"Pre-Test Planner","validate_planner_components.m","validate_planner_components","Application component for validate planner components."
"Pre-Test Planner","validate_study_plan_safety.m","validate_study_plan_safety","Application component for validate study plan safety."
