finding_id,gate,severity,what_was_checked,evidence,result,user_effect,recommended_action
P-01,Release integrity,Pass,Frozen V1.13 file identity,release-fingerprint.txt,Exact SHA-256 match,V1.13 was characterized without changing it,Keep V1.13 frozen
P-02,Neyer method,Pass,Stage 1 Stage 2 overlap and Stage 3 rules,concept-traceability.csv and stage-matrix.csv,Nine focused checks passed,Adaptive choices follow the paper including the 1.0-sigma transition and repeated 0.8 shrink,Retain the mathematics
P-03,Independent mathematics,Pass,MLE confidence ranges probability direction and D-optimal choice,math-comparisons.csv,Independent calculations matched six varied histories,The reported middle variation confidence and next useful gap are mathematically consistent,Retain the mathematics
P-04,Physical measurement,Pass,Requested versus measured gap and one-reading rule,physical-gap-matrix.csv,Twenty-two cases passed,The measured gap drives the answer while the requested build remains traceable,Retain this separation
P-05,Bounds rounding and stopping,Pass,Two-decimal requests reachable mapping sigma floor and honest pauses,physical-gap-matrix.csv and duplicate-request-details.csv,All rules passed including one deliberate boundary confirmation,The tool does not loop forever or present an impossible boundary as a normal result,Retain the safety behavior
P-06,Stress simulation,Pass,360 parameter combinations and deterministic replay,simulation-summary.csv and performance-summary.csv,1800 studies with zero rule failures and zero replay differences,The direct test remained stable across narrow wide easy difficult fine and coarse cases,Retain these regression tests
P-07,Records,Pass,CSV HTML save destination and overwrite protection,save-record-audit.txt and workflow-matrix.csv,Values agreed and same-name overwrite was blocked,Completed test evidence is preserved accurately,Retain the save rules
P-08,Standalone release,Pass,Only the MLX present during a clean MATLAB run,standalone-clean-start.txt,Direct test chance calculation saving and published example passed,The delivered MLX genuinely runs without project helper files,Retain the one-file build check
P-09,Pre-Test Planner separation,Pass,Planner purpose wording and visual structure,07-pre-test-planner.png and existing planner validation records,The planner is separate and labels its quantities as estimates,The direct test is not dependent on a preparation plan,Keep it optional and keep its limitations visible
F-01,Direct-run inputs,Important,Whether decision-driving terms are explained at entry,02-direct-run-inputs.png,Overall variation and usable gap step have no nearby plain-language explanation,A user can enter a guess without understanding how it changes the search,Add one-line explanations and examples directly under each field
F-02,Physical build selection,Important,Whether Direct Run a Test can describe the real buildable gap set,parse_run_inputs.m lines 90-92 and 02-direct-run-inputs.png,The direct screen always assumes every regular increment is buildable even though the engine supports confirmed lists and combinations,The app may request a nominal step that the spacer and foil kit cannot actually build,Offer regular step or confirmed reachable list in the direct workflow and label regular as an assumption
F-03,Unfinished-result design,Important,Result screen before a curve can be fitted,05-unfinished-result.png,Empty charts and partial disabled controls remain visible,The honest message looks like a broken program,Replace charts and calculator with one clear next-action card until a fit exists
F-04,Help language,Important,Whether help is visual scannable and jargon-free,06-help.png,Help is a dense monospaced text wall and includes unexplained Stage-2 wording,A non-specialist can lose the important operating rules,Rebuild help as short titled cards with simple definitions and examples
F-05,Main-menu instruction,Important,Whether the first-screen separation message is readable,01-main-menu.png,The sentence is visibly cut off with an ellipsis,A central instruction is hidden before the user chooses a workflow,Wrap the sentence over two visible lines
F-06,Per-test wording,Minor,Clarity of the requested-gap instruction,03-test-entry.png,Build a gap and Set the gap repeat the same instruction,The action is understandable but unnecessarily repetitive,Show one strong build instruction only
F-07,Internal maintainability,Minor,Internal names and source labels,choose_stage.m neyer_settings.m reliability_at_height.m,Stage labels and break-survive names require mental sign reversal and the first two-sigma reach is tagged as a recommendation although stated by the paper,Future maintenance is easier to get wrong,Clarify names and provenance comments without changing calculations
L-01,MATLAB installation,Limitation,Optional automatic dependency scan,standalone-clean-start.log,R2022b could not load its own libmwdepfun_analysis.dll,The scanner cannot produce a product list on this PC but the stronger one-file execution passed,Repair MATLAB installation separately if that optional report is wanted
